name,barcode,Sales Price,Quantity On Hand,Activity Exception Decoration
Kalaungi 125gm,8901572001247,50.00,3.00,
Kali Haldi 100gm,8901572001254,40.00,1.00,
Kali Mirch 100gm,8901572001261,90.00,0.00,
Kali Mirch 250gm,8901572001278,220.00,2.00,
Kali Mirch 50 gms,8901572001285,50.00,8.00,
Kali Mirch Jumbo 100gm,8901572001292,100.00,5.00,
Kali Mirch Jumbo 250gm,8901572001308,240.00,2.00,
Kali Musli 100gm,8901572001315,100.00,0.00,
Kalmi Shora 250gm,8901572001322,50.00,2.00,
Kalmi khajur 500gm ,8901572001339,350.00,1.00,
Kamarkash 100GM ,8901572001346,50.00,4.00,
Kaunch Seeds(Black) 250gm,8901572001360,70.00,3.00,
Kaunch Seeds(White) 250gm,8901572001353,70.00,0.00,
Khada Amchur 100gm,8901572001384,30.00,5.00,
Khada Dhaniya 1 kg,8901572001391,130.00,0.00,
Khada Dhaniya 200 gms,8901572001407,30.00,1.00,
Khada Dhaniya 500 gms,8901572001414,70.00,1.00,
Khade Haldi 1Kg,8901572001421,200.00,1.00,
Khade Haldi 250gms,8901572001438,50.00,1.00,
Khade Haldi 500gms,8901572001445,100.00,3.00,
Khas Khas 100 gms,8901572001483,180.00,2.00,
Khas Khas 250gm,8901572001490,450.00,2.00,
Khas Khas 50 gms,8901572001506,90.00,4.00,
King (Badam)500gm,8901572001513,460.00,0.00,
King Akbari Pista (250gm),8901572001520,500.00,0.00,
King's Fard Dates,8901572001582,170.00,0.00,
King's Kaju W210,8901572001612,240.00,0.00,
King's Khumani/Apricot (Green),8901572001629,140.00,0.00,
Kings Dry Dates (Chuwara),8901572001650,130.00,2.00,
Kismis Black long 250gm,8901572001667,150.00,8.00,
Kismis Black long 500gm,8901572001674,300.00,2.00,
Kismis Green 250gm,8901572001681,130.00,0.00,
Kismis Green 500gm,8901572001698,260.00,0.00,
Kismis Loose 100gm,8901572001704,50.00,5.00,
Kismis Selected 1kg,8901572001711,440.00,0.00,
Kismis Selected 250gm,8901572001728,110.00,2.00,
Kismis Selected 500gm,8901572001735,220.00,4.00,
Kurandan 50gm,8901572001742,40.00,3.00,
Laal Mirch with Stem 100gms,8901572002527,30.00,0.00,
Laal Mirch with Stem 250gms,8901572002534,60.00,0.00,
Laal Mirch with Stem 500gms,8901572002541,120.00,1.00,
Laal Mirch without stem 250gm,8901572001940,70.00,2.00,
Lal Mirch Without stem 500gm,8901572001933,140.00,2.00,
Lion Seedless Khajur ,8901572001766,140.00,0.00,
Loung Large 100gm(Cloves),8901572001803,120.00,1.00,
Loung Large 50gm (Cloves),8901572001810,60.00,0.00,
Loung Small 100gm(Cloves),8901572001773,100.00,5.00,
Loung Small 25gm(Cloves),8901572001780,25.00,2.00,
Loung Small 50gm(Cloves),8901572001797,50.00,3.00,
Maheen Souf 125gm,8901572001827,50.00,1.00,
Maheen Souf 250gm,8901572001834,90.00,2.00,
Makhana HandPicked 250gm,8901572001865,350.00,0.00,
Makhana Mini 250gm,8901572001872,200.00,0.00,
Makhana Sanwariya Bhog 100GM,8901572001841,120.00,1.00,
Makhana Sanwariya Bhog 250GM,8901572001858,300.00,5.00,
Mangal Kalash Gari Burada 100gm,8901572001889,40.00,0.00,
Mangal Kalash Gari Burada 200gm,8901572001896,70.00,2.00,
Marood Fali (100gm),8901572001902,30.00,3.00,
