main_db_id,accounting_db_id,mewaahghar_store_1_db_id,accounting_db_enabled,mewaahghar_store_1_db_enabled,accounting_db_synced,mewaahghar_store_1_db_synced
250,5,31,True,True,True,True
249,6,32,False,False,True,True
