id,name,product_variant_count,list_price,qty_available,standard_price,weight,volume
250,Aachar Masala (Bahurani),1,40.0,0.0,0.0,0.0,0.0
249,Aachar Masala (Rawaldas),1,80.0,8.0,0.0,0.0,0.0
