id,name,product_variant_count,list_price,qty_available,standard_price,weight,volume
31,Aachar Masala (Bahurani),1,40.0,0.0,0.0,0.0,0.0
32,Aachar Masala (Rawaldas),1,80.0,8.0,0.0,0.0,0.0
